CRC_names,CRC_pvals,CRC_pvals_adj,CRC_logfoldchanges,IBD_names,IBD_pvals,IBD_pvals_adj,IBD_logfoldchanges
S100A11,3.41E-62,2.05E-59,8.493024,TPT1,1.07E-182,1.54E-178,24.32713
JUN,6.32E-51,3.05E-48,10.398469,B2M,3.27E-170,2.37E-166,23.828606
FOS,8.99E-43,4.06E-40,8.216342,TMSB4X,1.77E-164,8.53E-161,23.093693
HSPA1A,5.01E-38,1.96E-35,8.22061,SRGN,1.00E-159,3.61E-156,19.63349
DNPH1,3.88E-36,1.48E-33,5.2991858,EEF1A1,2.59E-153,7.50E-150,19.523405
HLA-DRB1,4.96E-36,1.84E-33,6.371778,BTG1,4.80E-147,1.16E-143,19.122301
NDUFA13,7.16E-36,2.59E-33,5.0348477,PTMA,1.72E-145,3.55E-142,19.337933
PLP2,1.46E-35,5.15E-33,5.3972707,RGS1,1.01E-131,1.83E-128,20.075102
LGALS3,4.48E-32,1.51E-29,4.9133034,EIF1,3.72E-126,5.98E-123,14.8074875
HSPA1B,8.47E-31,2.78E-28,7.2026467,EEF1D,9.74E-126,1.41E-122,16.77931
HSPB1,7.93E-30,2.55E-27,4.9811754,FAU,4.70E-123,6.18E-120,15.565064
PKM,1.15E-29,3.60E-27,5.7421064,UBA52,6.36E-120,7.66E-117,14.93219
LGALS1,7.23E-29,2.18E-26,5.7899647,CD3E,8.16E-118,9.08E-115,11.111709
HLA-DPB1,1.50E-28,4.42E-26,4.3916125,ACTB,4.63E-109,4.78E-106,12.933875
TSPO,8.77E-28,2.44E-25,3.8860266,NACA,6.38E-98,6.14E-95,13.448652
IL2RG,1.34E-27,3.66E-25,5.782861,FTH1,2.12E-92,1.92E-89,13.643405
CLIC1,1.54E-27,4.05E-25,6.124589,UQCRB,2.43E-90,2.07E-87,13.606116
NDUFA3,6.31E-27,1.55E-24,3.8522937,TSC22D3,2.34E-82,1.88E-79,13.586911
S100A6,1.63E-26,3.93E-24,8.212216,PFDN5,5.34E-71,4.07E-68,10.743449
IER2,4.58E-26,1.09E-23,4.6085997,FTL,1.02E-69,7.35E-67,10.73882
ENO1,2.42E-25,5.64E-23,5.8110375,HLA-B,8.14E-69,5.60E-66,9.478439
ANXA2,3.05E-25,7.00E-23,4.3115034,EEF1B2,6.76E-68,4.44E-65,13.107676
HLA-F,2.07E-24,4.69E-22,3.96238,TOMM7,1.01E-65,6.34E-63,12.109397
TUBA1B,1.57E-23,3.43E-21,3.8128169,ACTG1,2.39E-59,1.38E-56,7.9978323
FOXP3,1.72E-23,3.72E-21,3.6459029,SAT1,1.52E-58,8.44E-56,12.737202
ITGB2,2.59E-23,5.52E-21,3.4765196,COX7C,7.58E-58,4.06E-55,9.498535
PSAP,6.39E-23,1.32E-20,3.2964394,TMSB10,1.94E-56,1.00E-53,8.900572
TAP1,7.09E-23,1.44E-20,3.4432707,BTF3,5.47E-52,2.73E-49,8.6615925
SELL,3.01E-22,5.87E-20,3.9755795,NPM1,3.50E-45,1.63E-42,8.599902
VIM,3.54E-22,6.83E-20,6.5633416,CREM,2.20E-41,9.62E-39,13.963498
TMED9,4.71E-22,8.96E-20,3.8176095,KLRB1,5.27E-40,2.24E-37,18.263264
NDUFC2,5.94E-22,1.12E-19,3.2097912,PTPRC,1.17E-39,4.82E-37,8.743734
PGAM1,1.27E-21,2.35E-19,3.4858205,CYTIP,2.47E-39,9.91E-37,9.365758
TRAF3IP3,3.57E-21,6.45E-19,3.4474933,HINT1,1.11E-34,3.82E-32,7.469337
SOCS1,5.61E-21,1.00E-18,4.0431447,RORA,1.97E-29,6.06E-27,10.33617
COX17,6.80E-21,1.20E-18,3.3053172,NAP1L1,1.72E-28,4.98E-26,8.01398
SH2D2A,1.13E-20,1.93E-18,3.2309222,STK4,7.97E-28,2.26E-25,10.178077
TNFRSF18,1.96E-20,3.26E-18,4.7983127,CIRBP,1.40E-27,3.76E-25,7.604319
CD63,2.16E-20,3.56E-18,3.5984268,DDX5,2.40E-27,6.19E-25,5.6828656
NDUFC1,3.90E-20,6.33E-18,3.253013,CD3D,4.39E-27,1.11E-24,5.066467
TYMP,4.42E-20,7.10E-18,3.7337077,GAPDH,4.63E-27,1.16E-24,3.5847661
LAIR2,4.82E-20,7.66E-18,3.925118,SUMO2,2.16E-24,4.81E-22,5.3163896
S100A10,5.83E-20,9.17E-18,4.297374,SRP14,6.38E-23,1.32E-20,5.8371534
TNFRSF1B,6.18E-20,9.60E-18,3.5302417,EIF3E,7.47E-23,1.50E-20,7.4377685
IFITM2,7.24E-20,1.11E-17,3.5288858,IL32,1.70E-22,3.37E-20,4.796671
ANXA6,7.89E-20,1.20E-17,3.4390588,ITM2B,2.07E-21,3.78E-19,5.6350203
TIMP1,1.44E-19,2.17E-17,3.6614013,ARHGDIB,9.58E-21,1.67E-18,4.2099743
NDUFB2,1.70E-19,2.51E-17,3.0587368,GPR183,1.09E-20,1.88E-18,9.157214
LRPAP1,2.29E-19,3.31E-17,3.4307764,ELF1,1.47E-20,2.48E-18,8.686383
TMEM258,3.28E-19,4.69E-17,3.4691706,SUB1,1.58E-19,2.35E-17,5.7065735
HSPE1,4.96E-19,7.04E-17,2.9234426,TNFAIP3,1.95E-19,2.85E-17,8.268227
TXN,5.89E-19,8.27E-17,3.1888416,COMMD6,3.36E-18,4.45E-16,6.0235953
LIMD2,1.38E-18,1.91E-16,3.0493069,CXCR4,1.51E-17,1.93E-15,6.4922085
SIT1,2.27E-18,3.13E-16,3.0399284,N4BP2L2,4.41E-16,5.03E-14,7.3492303
SMDT1,2.80E-18,3.82E-16,2.9095926,CCNH,5.45E-16,6.16E-14,8.249967
DDIT4,2.86E-18,3.86E-16,3.7716932,CALM1,6.76E-16,7.58E-14,5.307712
AP2M1,2.99E-18,4.00E-16,2.5823715,COX4I1,2.18E-15,2.25E-13,4.224901
VCP,4.05E-18,5.32E-16,2.9499326,ZNF331,3.58E-15,3.60E-13,8.250999
CD82,4.61E-18,6.01E-16,3.575876,ARID5B,6.65E-15,6.46E-13,7.416884
CTSA,8.68E-18,1.12E-15,3.3196833,IL7R,2.01E-14,1.89E-12,7.0632296
PSMB8,1.89E-17,2.39E-15,2.9691951,OAZ1,2.06E-14,1.92E-12,2.9739087
GSTO1,2.64E-17,3.32E-15,3.109631,HLA-C,2.40E-14,2.19E-12,2.4721515
GPX4,3.75E-17,4.67E-15,2.920274,CCNI,6.52E-14,5.74E-12,5.0450206
BST2,3.90E-17,4.82E-15,2.6740122,PABPC1,9.08E-14,7.77E-12,4.336636
HLA-DPA1,7.76E-17,9.51E-15,2.6182504,PNRC1,1.14E-13,9.61E-12,6.826496
IL2RA,8.53E-17,1.04E-14,3.3142815,SKP1,1.54E-13,1.26E-11,5.2188554
PET100,9.74E-17,1.17E-14,2.5987225,SERF2,1.92E-13,1.55E-11,2.7035341
SYNGR2,1.12E-16,1.34E-14,3.2766926,HLA-E,2.12E-13,1.69E-11,3.1539388
ROMO1,2.22E-16,2.63E-14,2.5715528,HNRNPA1,4.92E-13,3.89E-11,2.5705578
RAB5C,2.30E-16,2.71E-14,3.0465722,SRSF5,5.92E-13,4.65E-11,5.9966927
EMP3,2.54E-16,2.97E-14,3.0983083,RNF19A,6.92E-13,5.41E-11,6.9687934
SNRPB,2.81E-16,3.25E-14,2.3342025,CNOT6L,1.02E-12,7.66E-11,7.356988
DOK2,3.36E-16,3.85E-14,2.584496,UBC,1.64E-12,1.21E-10,3.2663379
GATA3,7.34E-16,8.16E-14,2.4421434,SH3BGRL3,1.72E-12,1.26E-10,3.130767
PTPN7,9.05E-16,9.98E-14,2.68135,CD48,3.76E-11,2.21E-09,6.094204
GLRX,9.31E-16,1.02E-13,2.6603937,SYTL3,1.51E-10,7.94E-09,6.7419386
NDUFS6,1.03E-15,1.12E-13,2.2165523,MYL12A,2.16E-10,1.10E-08,3.242684
OPTN,1.08E-15,1.17E-13,2.573936,OST4,2.48E-10,1.24E-08,3.3713155
ARHGDIA,1.25E-15,1.34E-13,2.3944213,NFKBIA,3.02E-10,1.49E-08,4.361064
TUBB,1.29E-15,1.37E-13,2.7038565,YPEL5,4.75E-10,2.23E-08,6.762612
LY6E,1.58E-15,1.67E-13,2.8394446,CYCS,3.19E-09,1.29E-07,6.46475
SNRPN,1.59E-15,1.67E-13,2.3641708,CFL1,3.86E-09,1.53E-07,1.4422737
PGK1,2.11E-15,2.20E-13,2.6684353,ARPC3,8.69E-09,3.32E-07,3.8009126
IL27RA,2.51E-15,2.58E-13,3.274099,HLA-A,9.05E-09,3.43E-07,2.6169245
ECH1,2.95E-15,3.00E-13,2.1671493,PRDM1,2.30E-08,8.17E-07,5.6470804
ITGB1,3.16E-15,3.19E-13,2.986659,GMFG,3.49E-08,1.20E-06,3.5819724
TSTD1,4.11E-15,4.10E-13,2.3084831,HMGN1,4.33E-08,1.47E-06,4.2467084
ACP5,4.19E-15,4.15E-13,3.0010574,ISG20,6.95E-08,2.26E-06,5.0972185
NDUFB1,4.23E-15,4.16E-13,2.3248177,KLF6,8.63E-08,2.75E-06,4.688537
CAP1,4.32E-15,4.22E-13,2.5479217,UGP2,1.97E-07,5.92E-06,5.274913
COPE,9.33E-15,8.99E-13,2.3627956,G3BP2,2.94E-07,8.53E-06,5.766876
TNFRSF4,1.03E-14,9.88E-13,3.6321878,ATP6V1G1,4.05E-07,1.14E-05,4.5076594
TWF2,1.25E-14,1.19E-12,2.777705,ARPC2,4.68E-07,1.30E-05,2.608303
YWHAE,1.92E-14,1.81E-12,2.394108,TXNIP,5.13E-07,1.40E-05,3.4720182
CKLF,2.15E-14,1.99E-12,3.201409,SSR2,6.55E-07,1.76E-05,5.0510736
CBX3,2.31E-14,2.12E-12,2.3479545,EEF2,8.65E-07,2.28E-05,2.168954
PTTG1,2.37E-14,2.17E-12,2.7117825,COTL1,1.53E-06,3.80E-05,5.405396
ARID5A,3.82E-14,3.45E-12,2.3525138,UBE2D3,2.54E-06,6.01E-05,4.396687
JTB,3.94E-14,3.54E-12,2.1165802,HSP90AA1,3.08E-06,7.09E-05,2.736689
IL2RB,4.69E-14,4.18E-12,2.3037755,CLEC2B,3.72E-06,8.43E-05,4.8435116
TIGIT,5.13E-14,4.55E-12,2.9179127,RGCC,4.16E-06,9.28E-05,5.9226494
TBCB,6.76E-14,5.92E-12,2.226922,CYBA,7.08E-06,0.000151611,2.357134
APOBEC3G,7.69E-14,6.70E-12,2.5468774,SAMSN1,7.62E-06,0.000161618,5.229125
SDF4,8.31E-14,7.19E-12,2.4188702,YWHAZ,1.12E-05,0.0002296,4.86895
TNIP1,9.00E-14,7.74E-12,2.2425442,NBEAL1,1.29E-05,0.000261931,5.3869157
TUBA4A,9.27E-14,7.88E-12,2.8163183,CHCHD2,1.47E-05,0.000292878,2.720997
ATRAID,1.15E-13,9.67E-12,2.1205895,C9orf16,1.65E-05,0.000324115,4.178599
UBE2I,1.24E-13,1.04E-11,2.1605508,PNISR,1.81E-05,0.000350543,4.732884
ANXA11,1.28E-13,1.06E-11,2.1207304,SLC25A6,2.03E-05,0.000387977,2.4337018
PRELID1,1.46E-13,1.20E-11,1.942964,HMGB1,2.24E-05,0.000423628,2.5735269
CORO1B,1.46E-13,1.20E-11,2.7477343,PFN1,2.33E-05,0.000439916,0.12971364
DYNC1I2,1.82E-13,1.47E-11,3.011944,UBE2B,2.46E-05,0.000462361,4.99703
IFI27,1.95E-13,1.57E-11,4.4150023,BTG3,3.33E-05,0.000612447,5.621118
RBX1,3.87E-13,3.07E-11,2.015878,SMCHD1,3.39E-05,0.000622909,5.019123
PSMB2,7.77E-13,6.04E-11,2.1088986,SF1,4.91E-05,0.00085842,5.393422
PSMD4,7.93E-13,6.12E-11,2.0349436,BCL2L11,5.54E-05,0.000955232,4.341471
PRNP,7.96E-13,6.12E-11,2.713878,CD52,6.96E-05,0.001170891,2.6441612
POLR2L,9.27E-13,7.09E-11,2.0348127,ANKRD12,9.51E-05,0.001548627,4.6910677
RHOF,9.58E-13,7.29E-11,1.9269288,CD7,0.000105893,0.001701108,2.8637898
PSMB3,9.82E-13,7.43E-11,1.7121031,AKAP13,0.000119218,0.001896216,5.058238
KRT8,1.00E-12,7.54E-11,4.564894,RBM39,0.000130418,0.002054011,4.4690256
MDH2,1.06E-12,7.90E-11,2.0706148,EVL,0.000139094,0.002176435,4.137247
ZFP36L1,1.66E-12,1.22E-10,2.390377,BCAS2,0.00015495,0.0023895,4.552679
PSMD8,1.68E-12,1.23E-10,1.9712199,COX7A2,0.000183955,0.002776222,2.9853225
IFI6,1.95E-12,1.41E-10,2.4373255,RSL24D1,0.000194118,0.002905333,5.1152463
BSG,1.95E-12,1.41E-10,1.7538702,STK17B,0.000387338,0.005258337,4.168329
CD74,2.01E-12,1.45E-10,4.9193234,FYN,0.000529676,0.006924104,4.6213984
DNAJC8,2.11E-12,1.51E-10,1.8596112,PPP1R2,0.000760043,0.009505798,4.4419117
CD79B,2.37E-12,1.69E-10,2.2159615,SC5D,0.000869518,0.010611157,4.3223834
HLA-DQB1,2.57E-12,1.82E-10,3.284289,SSR4,0.001027294,0.012285046,3.6527739
PDIA6,2.64E-12,1.86E-10,2.0574732,EPC1,0.00120661,0.014046026,4.333545
BANF1,2.88E-12,2.02E-10,2.2366085,JUNB,0.001209424,0.01406746,2.7533307
TSC22D4,2.99E-12,2.09E-10,2.45983,SERP1,0.001413873,0.016070578,4.125145
GNAS,3.57E-12,2.48E-10,1.7448795,IKZF3,0.001878721,0.020546562,3.815128
EIF2S2,3.61E-12,2.50E-10,1.9963253,LEPROTL1,0.001995277,0.021576454,4.6058993
EIF5A,4.01E-12,2.76E-10,2.307435,NACA2,0.002047886,0.02204641,3.8299186
PPIB,4.28E-12,2.93E-10,1.8434465,COX6B1,0.00220764,0.023590582,2.5720155
PPP4C,4.88E-12,3.32E-10,1.777905,METTL8,0.002282753,0.024321332,3.8825445
RER1,4.92E-12,3.34E-10,2.1932452,MBNL1,0.002817458,0.029347842,4.3990326
GNG5,5.50E-12,3.71E-10,1.7981569,EDF1,0.002959305,0.030513836,2.1999066
ANXA7,5.65E-12,3.80E-10,1.8504813,CORO1A,0.003119234,0.031871292,0.76499295
C4orf48,5.88E-12,3.94E-10,1.8506509,PPP2R5C,0.003651669,0.036638333,4.411396
NDUFAF3,6.01E-12,4.01E-10,1.8505737,TIPIN,0.003866004,0.038415591,4.438286
CTSB,6.18E-12,4.10E-10,2.5918505,PYHIN1,0.004258203,0.041180666,3.8920689
DYNLRB1,6.42E-12,4.24E-10,1.7259195,VAV3,0.004428299,0.042456459,4.211118
SNRNP70,6.53E-12,4.29E-10,2.243758,ITK,0.004517346,0.043224217,3.9388177
PPP1CA,6.65E-12,4.35E-10,2.1450534,DUSP1,0.004631592,0.044142096,2.8105881
CD4,6.92E-12,4.51E-10,2.1176617,ODF2L,0.006684327,0.060213087,4.2570558
NOP10,8.07E-12,5.23E-10,1.8651571,PDE4B,0.006992805,0.062408628,3.7234087
AIP,8.11E-12,5.24E-10,1.6994935,NDUFA4,0.007087296,0.063041376,2.1969225
RAB7A,8.33E-12,5.35E-10,1.8106966,OGT,0.007634645,0.067060569,3.556759
HLA-DRA,9.41E-12,6.02E-10,2.2924287,CELF2,0.007781462,0.068267216,4.1047454
STUB1,1.19E-11,7.57E-10,2.5863621,HMGB2,0.008237209,0.071356241,4.0040774
PPM1G,1.31E-11,8.30E-10,1.5422634,HSPA8,0.008415303,0.072464828,1.5783739
CDC37,1.31E-11,8.30E-10,1.8222895,HNRNPDL,0.01143715,0.093191706,3.7984679
DRAP1,1.32E-11,8.32E-10,1.5647211,MYL12B,0.013183738,0.105251512,2.0411077
CD99,1.33E-11,8.34E-10,1.7675749,CD2,0.013413326,0.106730802,0.6140034
CD164,1.35E-11,8.41E-10,1.748763,TMA7,0.013674099,0.108447683,0.9176375
UCP2,1.82E-11,1.13E-09,2.8504984,MYL6,0.014235386,0.11246254,-0.8547706
HCLS1,1.99E-11,1.23E-09,1.484247,NAB1,0.015900198,0.123262768,3.536927
RBM8A,2.19E-11,1.35E-09,1.6741544,CD44,0.015945048,0.123544214,3.080585
TNIP2,2.41E-11,1.47E-09,2.6318872,CHMP1B,0.01625675,0.125613068,3.4167109
GNAI2,2.48E-11,1.51E-09,1.9962343,LAPTM5,0.016879587,0.129535597,1.6323506
MSN,2.49E-11,1.51E-09,1.8140093,REL,0.017867698,0.135811195,3.774758
ARF1,2.66E-11,1.61E-09,1.4396933,CTLA4,0.01809076,0.137106329,3.7426133
MYO1G,2.82E-11,1.70E-09,2.3043559,SH3BGRL,0.018161705,0.137477453,3.3210618
ALDOA,2.94E-11,1.75E-09,3.6248634,SESN1,0.020713327,0.152714579,3.0460668
HAGH,2.94E-11,1.75E-09,2.689143,EIF3K,0.022164086,0.160625745,2.614535
GSTP1,2.97E-11,1.77E-09,1.9357301,SLC4A7,0.023650188,0.169023441,3.226723
OAS1,3.01E-11,1.78E-09,2.9583547,GLIPR1,0.024131514,0.171615068,3.8357778
ANXA5,3.30E-11,1.95E-09,1.9242417,ISCA1,0.026692424,0.186312146,3.62915
SLIRP,3.85E-11,2.25E-09,1.8061352,EIF3H,0.026933434,0.187393451,2.9091883
CNPY2,3.97E-11,2.31E-09,2.2680902,SRSF7,0.029331739,0.199472383,3.2147129
MVP,4.07E-11,2.36E-09,2.3092675,REG1A,0.029738217,0.201257152,30.710442
PSMA5,5.23E-11,3.03E-09,1.7115036,NHSL2,0.03043108,0.205115407,4.0911093
CTSD,5.44E-11,3.13E-09,1.7849783,SEC61B,0.03316291,0.218835852,3.2349243
RHOC,5.68E-11,3.26E-09,1.6258646,COX7A2L,0.033862546,0.222437385,3.5962431
LSM7,5.96E-11,3.40E-09,1.7260913,ABRACL,0.037094981,0.238152412,3.4326725
ERGIC3,6.38E-11,3.63E-09,2.2544641,CCNG2,0.037304072,0.239176172,3.2431867
RNF167,6.42E-11,3.64E-09,1.7947721,PPP1CB,0.037948565,0.241949415,3.773684
POLR2E,6.48E-11,3.66E-09,2.4056733,PIK3R1,0.03799336,0.241985901,3.6174026
MRPL41,7.02E-11,3.95E-09,1.625451,DEFA5,0.040728911,0.254295365,7.934946
HNRNPM,7.50E-11,4.20E-09,1.8417248,YBX1,0.04082409,0.254521212,1.8416251
PSMB9,7.89E-11,4.38E-09,2.052215,PHTF2,0.041664976,0.258537436,3.4508505
TRADD,7.90E-11,4.38E-09,2.4307199,LDHB,0.046105721,0.277250462,2.5805066
SIVA1,7.90E-11,4.38E-09,1.864627,HERPUD1,0.04678299,0.280274096,3.52283
RBPJ,8.56E-11,4.72E-09,1.8610581,IL6ST,0.049101304,0.29106464,2.972295
LAYN,8.67E-11,4.77E-09,2.1118264,PELI1,0.049744936,0.294119264,3.2851965
KRTCAP2,9.29E-11,5.09E-09,1.7786591,MGAT4A,0.058324305,0.331076873,3.1202483
LAMTOR2,9.36E-11,5.10E-09,1.8725595,GXYLT1,0.064159863,0.355820212,3.0444887
PYCARD,9.38E-11,5.10E-09,2.076367,EVI2A,0.077339738,0.409739071,3.6257405
UQCRQ,1.01E-10,5.45E-09,1.509121,EIF3F,0.078543039,0.413344982,2.4997907
TALDO1,1.02E-10,5.51E-09,1.7599324,CALM2,0.079595417,0.41755825,1.6034021
ENTPD1,1.04E-10,5.59E-09,1.6790422,MRPL1,0.082511277,0.428655424,3.0268774
CHMP4B,1.15E-10,6.14E-09,2.7337897,EIF1AY,0.084899246,0.436512551,3.9852242
NDUFA6,1.19E-10,6.35E-09,1.5974598,UXT,0.088613978,0.44890711,3.3407772
TUFM,1.20E-10,6.38E-09,1.5613302,GABARAPL2,0.092166273,0.462045762,3.1814554
NUDC,1.28E-10,6.77E-09,1.7735817,RHOH,0.096484506,0.477730475,3.2195044
TPM3,1.41E-10,7.42E-09,1.6873987,ATXN7,0.09789807,0.48291037,2.6492217
FXYD3,1.63E-10,8.56E-09,7.7988687,MPV17L,0.100374062,0.491557661,7.0600047
SDHA,1.68E-10,8.78E-09,2.2144606,GPX1,0.103103934,0.501742404,2.7992907
MRPL34,1.74E-10,9.02E-09,1.983828,BIRC3,0.108900571,0.522555702,2.2623334
PHB,1.78E-10,9.20E-09,2.1992764,IPCEF1,0.110254506,0.525982984,2.847875
EIF4H,1.78E-10,9.20E-09,1.9998466,SYNE2,0.114604382,0.541107821,3.2900631
CIB1,1.85E-10,9.54E-09,1.6237068,FKBP5,0.123266567,0.571763882,2.8399122
NAA38,1.93E-10,9.90E-09,2.2295036,ANKRD44,0.127452877,0.585918504,2.9978397
TPM4,1.94E-10,9.93E-09,1.7613192,MCL1,0.129548881,0.592539615,3.2896173
CHMP4A,2.09E-10,1.06E-08,1.3966873,STX11,0.139459214,0.623421716,2.6077907
ATP6V1E1,2.24E-10,1.13E-08,1.9226533,HPGD,0.142609197,0.634218322,3.1399856
RHOG,2.26E-10,1.14E-08,1.6088469,DCP2,0.143384499,0.63571085,2.6279023
ARHGAP30,2.34E-10,1.18E-08,2.0510392,ADTRP,0.154266145,0.66613479,2.6574614
WDR1,2.71E-10,1.35E-08,1.4713676,ETS1,0.160152723,0.682833404,2.6146514
DBNL,2.90E-10,1.44E-08,1.6718272,SETD7,0.160692897,0.684127768,2.9023206
HLA-DQA1,3.31E-10,1.64E-08,3.937325,UBB,0.163853084,0.693294669,0.039290182
HLA-DMA,3.36E-10,1.65E-08,2.5949419,TBCA,0.164402645,0.694806619,2.960578
CCND3,3.47E-10,1.70E-08,1.8927479,ICA1,0.174687085,0.72512945,3.183161
CHMP2A,3.52E-10,1.72E-08,1.2862102,RNF149,0.175456172,0.727646192,3.0029633
VASP,3.80E-10,1.85E-08,1.9697988,RAP1A,0.176963154,0.731845903,2.8284912
ARHGEF1,3.90E-10,1.89E-08,1.8012786,ATP6V0E1,0.177875851,0.733522261,1.9448104
TRAPPC4,3.91E-10,1.89E-08,1.7764065,GPM6B,0.17957455,0.73863125,2.7638972
COMMD7,4.04E-10,1.95E-08,1.3941727,TIFA,0.18790452,0.760560905,2.7974205
ANKRD10,4.08E-10,1.96E-08,2.346713,FUS,0.189367682,0.764130046,2.9089272
THRAP3,4.14E-10,1.98E-08,1.4692914,SATB1,0.192401634,0.772062952,2.6835856
NDFIP1,4.25E-10,2.03E-08,1.3585145,NR4A2,0.194305526,0.77647023,2.458911
FERMT3,4.50E-10,2.14E-08,2.0413654,PTPN2,0.195972292,0.780757067,2.7701528
NDUFB9,4.59E-10,2.18E-08,1.264391,GABPB1,0.204571249,0.803283846,3.446055
IFI27L2,4.66E-10,2.20E-08,1.7289624,MDM4,0.20515412,0.804721754,2.7424393
NME3,4.69E-10,2.21E-08,1.6677569,GPBP1,0.211667628,0.819574334,3.1021433
P4HB,4.78E-10,2.24E-08,1.8414588,JMJD1C,0.214868122,0.82634738,3.140043
GNB2,4.93E-10,2.30E-08,1.7603581,TGFBR2,0.233592853,0.87155754,2.4011343
ANAPC11,5.53E-10,2.57E-08,1.6041414,CDKL2,0.243120879,0.893724499,3.8327343
MRPS6,5.59E-10,2.59E-08,1.4877707,CDC42,0.24583996,0.900292334,2.6523654
SASH3,5.66E-10,2.62E-08,3.4492517,ZEB2,0.251641748,0.912524802,3.1862757
IL16,5.92E-10,2.73E-08,2.2871504,EVI2B,0.251991866,0.912878576,3.0057561
PPP1R18,6.86E-10,3.15E-08,1.1635854,VPS37B,0.253797839,0.916664789,2.5534077
CMTM3,6.92E-10,3.16E-08,1.8289638,RNMT,0.261470948,0.930890658,2.3021133
MZT2B,6.93E-10,3.16E-08,1.2598016,SAMHD1,0.263194771,0.934726111,2.7835276
XRCC6,7.45E-10,3.38E-08,1.4524701,WIPF1,0.265030052,0.938018235,2.9637516
WDR83OS,7.47E-10,3.38E-08,1.3069664,TXK,0.266119852,0.939345905,2.2420685
LSM14A,7.78E-10,3.52E-08,1.2516111,UQCRH,0.26896252,0.945915863,2.3545356
LDHA,8.28E-10,3.73E-08,2.3166227,ANKRD28,0.269958424,0.94849548,2.458681
ATP6V1F,9.46E-10,4.25E-08,1.381049,CCR6,0.270142156,0.948679935,3.2265122
CAPN2,1.00E-09,4.49E-08,1.9054008,PTGER4,0.278954867,0.963710744,2.2326608
BAX,1.01E-09,4.51E-08,1.2797116,CCR9,0.281053376,0.968415089,5.285686
ARF6,1.04E-09,4.64E-08,1.2797296,SNRPD2,0.281431163,0.969485765,2.0341885
PRDX2,1.07E-09,4.75E-08,1.4246522,FOXO1,0.281539165,0.969626788,2.33033
CUL9,1.08E-09,4.77E-08,2.515915,RNF125,0.285227985,0.977396687,2.168934
SNX17,1.12E-09,4.95E-08,1.4860243,JMY,0.285282475,0.977396687,2.435717
TNFRSF25,1.13E-09,4.95E-08,1.8125535,IRS2,0.287632207,0.979643452,2.3502934
FAM104A,1.17E-09,5.12E-08,2.051418,TIPARP,0.293785801,0.988773712,2.2704642
LCK,1.18E-09,5.14E-08,2.3604121,RNF187,0.296965449,0.992952465,2.1844175
IK,1.23E-09,5.35E-08,1.2743104,CHD2,0.299717159,0.998646349,2.3162827
SLAMF1,1.45E-09,6.27E-08,1.3853532,CBLB,0.302854368,1,2.3420854
PHB2,1.47E-09,6.37E-08,1.9854771,BATF,0.306870847,1,1.0858339
SEC11C,1.47E-09,6.37E-08,1.5273701,ZDBF2,0.31375916,1,2.800501
NDUFA1,1.51E-09,6.48E-08,1.6745286,DTHD1,0.320895731,1,2.7726855
LAT,1.61E-09,6.91E-08,1.4079398,TPGS1,0.323080899,1,2.2575407
CASP1,1.62E-09,6.92E-08,1.3450125,CMTM8,0.323791681,1,2.8538532
MX1,1.62E-09,6.92E-08,2.9490247,DDX24,0.331376507,1,2.5836957
AUP1,1.63E-09,6.94E-08,1.9839349,SCAND1,0.333064086,1,2.831367
PSMC3,1.64E-09,6.95E-08,2.0317316,USP36,0.333668135,1,2.302313
IL10RA,1.74E-09,7.36E-08,1.4460268,DDX3Y,0.347662962,1,3.702982
TMBIM6,1.77E-09,7.45E-08,1.6884313,LZTFL1,0.359706662,1,2.4923522
ADRM1,1.79E-09,7.52E-08,1.747698,IRF1,0.361325702,1,2.9645367
KRT19,1.84E-09,7.73E-08,5.5464025,TNFSF8,0.366755437,1,2.321929
MRPL33,1.87E-09,7.81E-08,1.0545225,VPS13C,0.367301194,1,2.026179
CAPG,1.90E-09,7.90E-08,4.501813,MAP1LC3B2,0.375743596,1,4.312585
TRAPPC1,1.93E-09,8.03E-08,1.6076555,MALT1,0.376754234,1,2.443305
LRP10,1.94E-09,8.03E-08,1.8833606,SIAH2,0.377962672,1,2.4342005
CCM2,2.12E-09,8.78E-08,1.8196446,CC2D2A,0.380616496,1,5.503393
ICAM3,2.16E-09,8.89E-08,1.4984885,TRIM59,0.383083918,1,2.006658
AURKAIP1,2.24E-09,9.20E-08,1.0867699,OSER1,0.391646419,1,2.1027153
PUF60,2.30E-09,9.42E-08,1.7897158,RGS10,0.395937248,1,2.6603014
PPP1R7,2.72E-09,1.11E-07,1.605955,BCLAF1,0.396374618,1,2.5628595
PCED1B,2.80E-09,1.14E-07,2.7168422,STAT4,0.396542915,1,2.4750247
MRPS34,2.95E-09,1.20E-07,1.4386866,POLR2B,0.396576579,1,2.28462
KRT18,3.05E-09,1.23E-07,4.844026,CLIP4,0.397014375,1,3.0567303
EIF5B,3.50E-09,1.41E-07,1.5718219,XPO4,0.397418753,1,2.3640893
YWHAH,3.56E-09,1.43E-07,1.5356998,OFD1,0.398768473,1,2.767029
CCT3,3.58E-09,1.43E-07,1.4749173,CCNL1,0.400527228,1,2.8393579
WAS,3.70E-09,1.48E-07,1.7640152,TRAT1,0.404876284,1,1.8415661
LMAN2,3.74E-09,1.49E-07,1.3834898,JUND,0.40699297,1,2.9854674
